2026-03-11 17:21:47,490 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:22:47 MSK)" (scheduled at 2026-03-11 17:21:47.483850+03:00)
2026-03-11 17:21:47,490 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:22:47 MSK)" executed successfully
2026-03-11 17:22:47,485 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:23:47 MSK)" (scheduled at 2026-03-11 17:22:47.483850+03:00)
2026-03-11 17:22:47,485 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:23:47 MSK)" executed successfully
2026-03-11 17:23:22,010 | INFO | aiogram.event | Update id=732797846 is handled. Duration 218 ms by bot id=7666806729
2026-03-11 17:23:25,512 | INFO | aiogram.event | Update id=732797847 is handled. Duration 186 ms by bot id=7666806729
2026-03-11 17:23:28,257 | INFO | aiogram.event | Update id=732797848 is handled. Duration 250 ms by bot id=7666806729
2026-03-11 17:23:29,836 | INFO | aiogram.event | Update id=732797849 is handled. Duration 110 ms by bot id=7666806729
2026-03-11 17:23:35,375 | INFO | aiogram.event | Update id=732797850 is handled. Duration 171 ms by bot id=7666806729
2026-03-11 17:23:37,361 | INFO | aiogram.event | Update id=732797851 is handled. Duration 93 ms by bot id=7666806729
2026-03-11 17:23:39,415 | INFO | aiogram.event | Update id=732797852 is handled. Duration 77 ms by bot id=7666806729
2026-03-11 17:23:40,424 | INFO | aiogram.event | Update id=732797853 is handled. Duration 79 ms by bot id=7666806729
2026-03-11 17:23:40,955 | INFO | aiogram.event | Update id=732797854 is handled. Duration 78 ms by bot id=7666806729
2026-03-11 17:23:41,394 | INFO | aiogram.event | Update id=732797855 is handled. Duration 77 ms by bot id=7666806729
2026-03-11 17:23:46,648 | INFO | aiogram.event | Update id=732797856 is handled. Duration 77 ms by bot id=7666806729
2026-03-11 17:23:47,495 | INFO | apscheduler.executors.default | Running job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:24:47 MSK)" (scheduled at 2026-03-11 17:23:47.483850+03:00)
2026-03-11 17:23:47,495 | INFO | apscheduler.executors.default | Job "check_pickup_reminders (trigger: interval[0:01:00], next run at: 2026-03-11 17:24:47 MSK)" executed successfully
2026-03-11 17:23:50,451 | INFO | aiogram.event | Update id=732797857 is handled. Duration 94 ms by bot id=7666806729
2026-03-11 17:24:09,860 | INFO | aiogram.event | Update id=732797858 is handled. Duration 311 ms by bot id=7666806729
2026-03-11 17:24:11,107 | INFO | aiogram.event | Update id=732797859 is not handled. Duration 0 ms by bot id=7666806729
